vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations
70,0.25,547,47,0.1865384578704834,47
70,0.5,193,42,0.3490567207336426,42
70,0.75,206,46,1.0057830810546875,46
71,0.125,439,40,0.0858614444732666,40
71,0.25,424,44,0.28395724296569824,44
71,0.5,232,45,0.581942081451416,45
71,0.75,233,52,1.2578186988830566,52
72,0.125,935,49,0.19408559799194336,49
72,0.25,409,46,0.30919504165649414,46
72,0.5,260,46,0.5182106494903564,46
72,0.75,198,49,0.7950656414031982,49
73,0.125,803,47,0.15661883354187012,47
73,0.25,536,46,0.3568105697631836,46
73,0.5,271,49,0.37166786193847656,49
73,0.75,194,47,0.6498849391937256,47
74,0.125,589,44,0.1275787353515625,44
74,0.25,364,44,0.21102499961853027,44
74,0.5,277,48,0.401411771774292,48
74,0.75,134,46,0.6225731372833252,46
75,0.125,1021,50,0.21685147285461426,50
75,0.25,315,44,0.2151811122894287,44
75,0.5,211,50,0.3245968818664551,50
75,0.75,138,47,0.6990480422973633,47
76,0.125,586,45,0.11623978614807129,45
76,0.25,412,46,0.3314323425292969,46
76,0.5,200,50,0.6206040382385254,50
76,0.75,211,48,1.1055729389190674,48
77,0.125,715,48,0.16672873497009277,48
77,0.25,519,53,0.5171627998352051,53
77,0.5,251,48,0.8223476409912109,48
77,0.75,133,46,0.6847262382507324,46
78,0.125,730,51,0.18165040016174316,51
78,0.25,344,48,0.26231980323791504,48
78,0.5,207,48,0.6527307033538818,48
78,0.75,152,50,1.3564903736114502,50
79,0.125,568,44,0.16376996040344238,44
79,0.25,397,50,0.3055238723754883,50
79,0.5,224,48,0.9152486324310303,48
79,0.75,265,55,1.915846586227417,55
80,0.125,660,49,0.07257699966430664,49
80,0.25,334,48,0.3327324390411377,48
80,0.5,253,51,0.9130184650421143,51
80,0.75,153,54,1.4041433334350586,54
81,0.125,1051,50,0.23940253257751465,50
81,0.25,524,53,0.33808469772338867,53
81,0.5,256,52,0.5448997020721436,52
81,0.75,221,55,0.9572741985321045,55
82,0.125,533,46,0.11612653732299805,46
82,0.25,417,51,0.5651335716247559,51
82,0.5,289,53,0.9779829978942871,53
82,0.75,182,51,1.1960625648498535,51
83,0.125,587,50,0.1587681770324707,50
83,0.25,465,57,0.26619553565979004,57
83,0.5,209,55,0.5653488636016846,55
83,0.75,181,54,1.6030597686767578,54
84,0.125,529,48,0.06529784202575684,48
84,0.25,363,52,0.18135595321655273,52
84,0.5,216,54,0.6759283542633057,54
84,0.75,175,52,1.535963535308838,52
