vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
13,492,10,0.004270315170288086,2216,2000,0.25,0.5,0.25
13,270,8,0.008030414581298828,4231,3900,0.25,0.5,0.5
13,488,12,0.011915445327758789,6791,5900,0.25,0.5,0.75
14,586,11,0.002476930618286133,1352,1200,0.25,0.5,0.125
14,528,13,0.004868984222412109,2594,2300,0.25,0.5,0.25
14,556,12,0.009404182434082031,5219,4600,0.25,0.5,0.5
14,544,9,0.01389622688293457,7475,6900,0.25,0.5,0.75
15,334,7,0.002957582473754883,1642,1400,0.25,0.5,0.125
15,453,8,0.005438804626464844,2987,2700,0.25,0.5,0.25
15,549,12,0.010727882385253906,6132,5300,0.25,0.5,0.5
15,823,15,0.016241073608398438,8997,7900,0.25,0.5,0.75
16,358,9,0.0030972957611083984,1659,1500,0.25,0.5,0.125
16,811,14,0.006313800811767578,3268,3000,0.25,0.5,0.25
16,580,11,0.012235641479492188,6468,6000,0.25,0.5,0.5
16,558,13,0.018235206604003906,10226,9000,0.25,0.5,0.75
17,469,12,0.0036704540252685547,1926,1700,0.25,0.5,0.125
17,608,12,0.007067203521728516,3665,3400,0.25,0.5,0.25
17,294,11,0.014344215393066406,7677,6800,0.25,0.5,0.5
17,791,15,0.02067112922668457,11902,10200,0.25,0.5,0.75
18,736,12,0.004222869873046875,2178,2000,0.25,0.5,0.125
18,856,14,0.007859468460083008,4244,3900,0.25,0.5,0.25
18,515,14,0.015961408615112305,8639,7700,0.25,0.5,0.5
18,803,18,0.023737192153930664,13282,11500,0.25,0.5,0.75
19,517,14,0.004561662673950195,2541,2200,0.25,0.5,0.125
19,722,14,0.008662700653076172,4720,4300,0.25,0.5,0.25
19,571,13,0.017421722412109375,9604,8600,0.25,0.5,0.5
19,825,15,0.02690267562866211,15377,12900,0.25,0.5,0.75
20,916,14,0.004846811294555664,2701,2400,0.25,0.5,0.125
20,557,14,0.009328603744506836,5156,4800,0.25,0.5,0.25
20,734,16,0.018715381622314453,10539,9500,0.25,0.5,0.5
20,636,18,0.02965831756591797,17594,14300,0.25,0.5,0.75
21,695,14,0.0054934024810791016,3090,2700,0.25,0.5,0.125
21,902,18,0.010581254959106445,6022,5300,0.25,0.5,0.25
21,980,20,0.020829439163208008,11894,10500,0.25,0.5,0.5
21,913,18,0.03279399871826172,19354,15800,0.25,0.5,0.75
22,859,15,0.005759477615356445,3182,2900,0.25,0.5,0.125
22,374,13,0.011572122573852539,6291,5800,0.25,0.5,0.25
22,671,19,0.023700714111328125,13741,11600,0.25,0.5,0.5
22,864,20,0.03582763671875,20737,17400,0.25,0.5,0.75
23,788,15,0.0066928863525390625,3665,3200,0.25,0.5,0.125
23,1157,25,0.013000965118408203,7283,6400,0.25,0.5,0.25
23,727,17,0.024600744247436523,13984,12700,0.25,0.5,0.5
23,709,17,0.03934645652770996,22601,19000,0.25,0.5,0.75
24,624,16,0.00703120231628418,3828,3500,0.25,0.5,0.125
24,1130,20,0.014036178588867188,7664,6900,0.25,0.5,0.25
24,894,17,0.02958083152770996,15967,13800,0.25,0.5,0.5
24,1128,26,0.043766021728515625,25913,20700,0.25,0.5,0.75
25,1293,22,0.007831573486328125,4344,3800,0.25,0.5,0.125
25,987,19,0.015560388565063477,8718,7500,0.25,0.5,0.25
25,1152,22,0.03046703338623047,17060,15000,0.25,0.5,0.5
25,1258,26,0.04679393768310547,27392,22500,0.25,0.5,0.75
26,1005,20,0.008366823196411133,4684,4100,0.25,0.5,0.125
26,1000,17,0.016312122344970703,9186,8200,0.25,0.5,0.25
26,958,20,0.033522605895996094,18730,16300,0.25,0.5,0.5
26,1262,25,0.05082106590270996,30064,24400,0.25,0.5,0.75
27,1000,18,0.008750677108764648,4833,4400,0.25,0.5,0.125
27,916,18,0.017250537872314453,9504,8800,0.25,0.5,0.25
27,1352,26,0.0354771614074707,20039,17600,0.25,0.5,0.5
27,1331,24,0.05681180953979492,31725,26400,0.25,0.5,0.75
28,813,19,0.009798526763916016,5461,4800,0.25,0.5,0.125
28,1254,26,0.019246339797973633,11025,9500,0.25,0.5,0.25
28,1238,25,0.0391385555267334,21633,18900,0.25,0.5,0.5
28,1261,29,0.06067776679992676,34805,28400,0.25,0.5,0.75
29,1533,24,0.010324478149414062,5722,5100,0.25,0.5,0.125
29,1455,28,0.02052164077758789,11431,10200,0.25,0.5,0.25
29,1437,32,0.04194927215576172,24065,20300,0.25,0.5,0.5
29,1167,34,0.06522488594055176,36430,30500,0.25,0.5,0.75
30,1395,34,0.012077093124389648,7054,5500,0.25,0.5,0.125
30,1386,32,0.0217893123626709,12127,10900,0.25,0.5,0.25
30,1520,31,0.04562950134277344,26363,21800,0.25,0.5,0.5
30,1672,33,0.07139968872070312,41374,32700,0.25,0.5,0.75
