vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
6,0.125,78,2,0.01835179328918457,4,10000,0.25,0.5
6,0.25,74,2,0.01871967315673828,29,10000,0.25,0.5
6,0.5,41,2,0.021189212799072266,199,10000,0.25,0.5
6,0.75,46,2,0.024814128875732422,643,10000,0.25,0.5
7,0.125,129,3,0.02221536636352539,15,10000,0.25,0.5
7,0.25,69,2,0.019276142120361328,89,10000,0.25,0.5
7,0.5,197,3,0.02524566650390625,627,10000,0.25,0.5
7,0.75,24,3,0.08924078941345215,23909,10000,0.25,0.5
8,0.125,286,4,0.023985624313354492,54,10000,0.25,0.5
8,0.25,77,2,0.019587993621826172,116,10000,0.25,0.5
8,0.5,124,2,0.027068614959716797,707,10000,0.25,0.5
8,0.75,81,3,0.10029363632202148,29636,10000,0.25,0.5
9,0.125,156,4,0.02116537094116211,130,10000,0.25,0.5
9,0.25,87,3,0.023848772048950195,542,10000,0.25,0.5
9,0.5,143,3,0.03730607032775879,2223,10000,0.25,0.5
9,0.75,48,4,0.09865999221801758,27982,10000,0.25,0.5
10,0.125,123,4,0.022219419479370117,280,10000,0.25,0.5
10,0.25,94,3,0.03560280799865723,3659,10000,0.25,0.5
10,0.5,136,3,0.04948616027832031,4234,10000,0.25,0.5
10,0.75,129,4,0.10018515586853027,30025,10000,0.25,0.5
11,0.125,172,4,0.023797035217285156,646,10000,0.25,0.5
11,0.25,272,4,0.037187814712524414,3937,10000,0.25,0.5
11,0.5,153,4,0.10199451446533203,31862,10000,0.25,0.5
11,0.75,161,4,0.11793327331542969,45217,10000,0.25,0.5
12,0.125,212,4,0.027643442153930664,1099,10000,0.25,0.5
12,0.25,175,4,0.08838319778442383,23797,10000,0.25,0.5
12,0.5,153,5,0.10312271118164062,32284,10000,0.25,0.5
12,0.75,263,6,0.14374732971191406,81271,10000,0.25,0.5
13,0.125,191,5,0.03435087203979492,3004,10000,0.25,0.5
13,0.25,128,4,0.083160400390625,13177,10000,0.25,0.5
13,0.5,278,5,0.11453819274902344,43021,10000,0.25,0.5
13,0.75,208,6,0.15722346305847168,98194,10000,0.25,0.5
14,0.125,240,7,0.09278273582458496,20620,10000,0.25,0.5
14,0.25,189,5,0.10630321502685547,32036,10000,0.25,0.5
14,0.5,176,5,0.12906289100646973,59808,10000,0.25,0.5
14,0.75,159,8,0.16338610649108887,97906,10000,0.25,0.5
15,0.125,62,4,0.08134222030639648,11518,10000,0.25,0.5
15,0.25,222,6,0.10622572898864746,33506,10000,0.25,0.5
15,0.5,284,9,0.1480422019958496,84688,10000,0.25,0.5
15,0.75,193,6,0.18932199478149414,135030,10000,0.25,0.5
16,0.125,222,5,0.08896636962890625,17122,10000,0.25,0.5
16,0.25,242,6,0.10951566696166992,43040,10000,0.25,0.5
16,0.5,298,10,0.14865708351135254,78770,10000,0.25,0.5
16,0.75,353,10,0.1693098545074463,112034,10000,0.25,0.5
17,0.125,226,7,0.10787200927734375,34658,10000,0.25,0.5
17,0.25,290,8,0.10901784896850586,38738,10000,0.25,0.5
17,0.5,202,8,0.1600189208984375,93456,10000,0.25,0.5
17,0.75,454,12,0.19344115257263184,152019,10000,0.25,0.5
18,0.125,316,8,0.11422586441040039,41638,10000,0.25,0.5
18,0.25,363,8,0.1266329288482666,57606,10000,0.25,0.5
18,0.5,343,9,0.15177655220031738,80036,10000,0.25,0.5
18,0.75,526,14,0.189375638961792,141430,10000,0.25,0.5
19,0.125,176,9,0.11102533340454102,36744,10000,0.25,0.5
19,0.25,327,9,0.13265371322631836,63581,10000,0.25,0.5
19,0.5,447,10,0.15866518020629883,89047,10000,0.25,0.5
19,0.75,414,11,0.20029234886169434,152913,10000,0.25,0.5
20,0.125,356,8,0.12513971328735352,54773,10000,0.25,0.5
20,0.25,329,8,0.13617992401123047,65088,10000,0.25,0.5
