vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
15,0.5,328,8,0.01983499526977539,1039,10000,0.25,0.5
15,0.75,624,15,0.019949674606323242,1238,10000,0.25,0.5
16,0.125,531,11,0.019671916961669922,167,10000,0.25,0.5
16,0.25,420,11,0.019292354583740234,226,10000,0.25,0.5
16,0.5,653,13,0.019585609436035156,556,10000,0.25,0.5
16,0.75,496,13,0.02102494239807129,1416,10000,0.25,0.5
17,0.125,380,10,0.02036738395690918,215,10000,0.25,0.5
17,0.25,607,13,0.019675731658935547,361,10000,0.25,0.5
17,0.5,849,20,0.020484447479248047,898,10000,0.25,0.5
17,0.75,895,19,0.020464420318603516,2163,10000,0.25,0.5
18,0.125,512,9,0.01983356475830078,220,10000,0.25,0.5
18,0.25,735,10,0.020172119140625,453,10000,0.25,0.5
18,0.5,674,13,0.020238161087036133,700,10000,0.25,0.5
18,0.75,779,14,0.020980358123779297,2399,10000,0.25,0.5
19,0.125,436,12,0.019866943359375,411,10000,0.25,0.5
19,0.25,707,14,0.01973414421081543,500,10000,0.25,0.5
19,0.5,1174,22,0.02026534080505371,1009,10000,0.25,0.5
19,0.75,714,15,0.021305561065673828,2576,10000,0.25,0.5
20,0.125,889,14,0.019299745559692383,357,10000,0.25,0.5
20,0.25,595,17,0.020467042922973633,1090,10000,0.25,0.5
20,0.5,755,17,0.020316362380981445,1589,10000,0.25,0.5
20,0.75,1003,17,0.021521329879760742,3085,10000,0.25,0.5
21,0.125,762,18,0.019909143447875977,463,10000,0.25,0.5
21,0.25,966,17,0.019881248474121094,945,10000,0.25,0.5
21,0.5,1129,20,0.020412921905517578,1512,10000,0.25,0.5
21,0.75,939,18,0.02142810821533203,2817,10000,0.25,0.5
22,0.125,847,15,0.01941084861755371,340,10000,0.25,0.5
22,0.25,894,17,0.020635128021240234,1130,10000,0.25,0.5
22,0.5,854,22,0.020160675048828125,1563,10000,0.25,0.5
22,0.75,851,18,0.02186751365661621,3845,10000,0.25,0.5
23,0.125,792,16,0.020206928253173828,510,10000,0.25,0.5
23,0.25,1229,24,0.02077507972717285,1759,10000,0.25,0.5
23,0.5,1121,19,0.02050638198852539,2469,10000,0.25,0.5
23,0.75,1378,27,0.023017406463623047,4701,10000,0.25,0.5
24,0.125,997,19,0.019746065139770508,614,10000,0.25,0.5
24,0.25,852,19,0.02063441276550293,892,10000,0.25,0.5
24,0.5,1207,23,0.021493911743164062,2703,10000,0.25,0.5
24,0.75,1380,24,0.0229799747467041,5572,10000,0.25,0.5
25,0.125,713,13,0.02009868621826172,842,10000,0.25,0.5
25,0.25,1500,26,0.02030801773071289,1395,10000,0.25,0.5
25,0.5,1492,24,0.02089691162109375,2370,10000,0.25,0.5
25,0.75,1289,28,0.024761676788330078,6445,10000,0.25,0.5
26,0.125,1337,23,0.02067255973815918,1231,10000,0.25,0.5
26,0.25,1454,28,0.021588802337646484,2343,10000,0.25,0.5
26,0.5,1332,26,0.022470474243164062,3297,10000,0.25,0.5
26,0.75,942,19,0.024371623992919922,6491,10000,0.25,0.5
27,0.125,1339,28,0.020248889923095703,818,10000,0.25,0.5
27,0.25,1052,20,0.019995689392089844,1112,10000,0.25,0.5
27,0.5,921,23,0.02197265625,3663,10000,0.25,0.5
27,0.75,1373,28,0.024351119995117188,6277,10000,0.25,0.5
28,0.125,608,18,0.020133018493652344,1272,10000,0.25,0.5
28,0.25,1367,21,0.020433664321899414,1906,10000,0.25,0.5
28,0.5,1357,28,0.021562814712524414,3771,10000,0.25,0.5
28,0.75,1098,28,0.025722503662109375,7991,10000,0.25,0.5
29,0.125,1486,25,0.019933462142944336,1273,10000,0.25,0.5
29,0.25,1881,32,0.02082657814025879,1468,10000,0.25,0.5
29,0.5,1234,25,0.02355194091796875,5052,10000,0.25,0.5
29,0.75,1228,34,0.02535533905029297,7421,10000,0.25,0.5
30,0.125,1199,26,0.02016758918762207,1541,10000,0.25,0.5
30,0.25,1324,26,0.020152807235717773,1286,10000,0.25,0.5
30,0.5,1209,22,0.021680593490600586,3758,10000,0.25,0.5
30,0.75,1440,34,0.025781631469726562,7972,10000,0.25,0.5
