vertices_num,percentage_max_num_edges,randomized_total_weight,randomized_heuristic_total_weight,weight_difference,randomized_execution_time,randomized_heuristic_execution_time,time_ratio,randomized_num_operations,randomized_heuristic_num_operations,randomized_configurations,randomized_heuristic_configurations
19,0.5,563,959,-396,0.07842230796813965,0.022481441497802734,0.28667151069994257,148713,878,1000,10000
19,0.75,769,1099,-330,0.14690232276916504,0.022848129272460938,0.15553279786027172,235094,3113,1000,10000
20,0.125,403,810,-407,0.018785476684570312,0.0203094482421875,1.0811249873083562,30394,356,1000,10000
20,0.25,458,841,-383,0.042359113693237305,0.021101713180541992,0.4981622923784383,75849,717,1000,10000
20,0.5,687,1187,-500,0.08957648277282715,0.021790742874145508,0.24326410459102873,164624,1597,1000,10000
20,0.75,827,1071,-244,0.14293766021728516,0.022481441497802734,0.15728144327833415,262812,2703,1000,10000
21,0.125,376,521,-145,0.01936030387878418,0.019905567169189453,1.0281639840892578,31956,363,1000,10000
21,0.25,771,982,-211,0.04775738716125488,0.02024674415588379,0.4239499972542422,86006,1017,1000,10000
21,0.5,777,926,-149,0.1047356128692627,0.021237611770629883,0.20277354749563503,194581,1542,1000,10000
21,0.75,612,1477,-865,0.15666699409484863,0.02258586883544922,0.14416481892654034,294045,3524,1000,10000
22,0.125,427,845,-418,0.022353410720825195,0.020385026931762695,0.9119425749544035,36674,385,1000,10000
22,0.25,500,548,-48,0.054531097412109375,0.020614147186279297,0.37802553340328787,98228,926,1000,10000
22,0.5,486,862,-376,0.1091768741607666,0.02086162567138672,0.19108099431998096,206403,2030,1000,10000
22,0.75,997,759,238,0.1765739917755127,0.02228689193725586,0.12621842952721085,333659,3767,1000,10000
23,0.125,513,1033,-520,0.026402711868286133,0.020235061645507812,0.7664008813357294,44457,641,1000,10000
23,0.25,756,1037,-281,0.0567164421081543,0.02033066749572754,0.35846161606820076,102945,1043,1000,10000
23,0.5,664,814,-150,0.12362885475158691,0.021131277084350586,0.1709251220260078,232650,2471,1000,10000
23,0.75,871,1111,-240,0.19278502464294434,0.02184772491455078,0.11332687772307411,359248,3837,1000,10000
24,0.125,431,872,-441,0.03000950813293457,0.020685672760009766,0.689303958877881,51622,640,1000,10000
24,0.25,358,678,-320,0.06447505950927734,0.02046799659729004,0.31745603265934,115352,760,1000,10000
24,0.5,739,1237,-498,0.1387021541595459,0.020926952362060547,0.15087690951063928,255188,1781,1000,10000
24,0.75,835,1085,-250,0.2161262035369873,0.02268385887145996,0.10495654159574362,391140,4632,1000,10000
25,0.125,617,1174,-557,0.031798601150512695,0.020193099975585938,0.6350310782542193,55421,818,1000,10000
25,0.25,780,1429,-649,0.07062983512878418,0.020014286041259766,0.28336872094868065,126864,1170,1000,10000
25,0.5,1033,1397,-364,0.15203475952148438,0.02093195915222168,0.13767877305231463,272224,2377,1000,10000
25,0.75,1024,1291,-267,0.23651528358459473,0.024417638778686523,0.10323915819990988,425341,6681,1000,10000
26,0.125,693,1102,-409,0.0343320369720459,0.020745515823364258,0.604261140702366,58872,852,1000,10000
26,0.25,858,1248,-390,0.0798025131225586,0.02078080177307129,0.26040284898242094,138384,1608,1000,10000
26,0.5,1011,1566,-555,0.1662442684173584,0.0216977596282959,0.1305173395441423,292340,2577,1000,10000
26,0.75,1113,1268,-155,0.2653539180755615,0.024104833602905273,0.09084031537096521,464374,7089,1000,10000
